cluster,primary_url,member_urls,recommended_action,rationale
Canonical duplicate: https://www.workofarttattoo.com/artists/katelyn-cole/,https://www.workofarttattoo.com/artists/katelyn-cole/,https://www.workofarttattoo.com/artists/katelyn-cole/ | https://www.workofarttattoo.com/artists_build/katelyn-cole.html,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
Canonical duplicate: https://www.workofarttattoo.com/artists/teralyn/,https://www.workofarttattoo.com/artists/teralyn/,https://www.workofarttattoo.com/artists/teralyn/ | https://www.workofarttattoo.com/artists_build/teralyn.html,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
Canonical duplicate: https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/,https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/,https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/ | https://www.workofarttattoo.com/cover_up_tattoos_las_vegas_master_authority_guide/,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
Canonical duplicate: https://www.workofarttattoo.com/helix-piercing-las-vegas/,https://www.workofarttattoo.com/helix-piercing-las-vegas/,https://www.workofarttattoo.com/helix-piercing-las-vegas/ | https://www.workofarttattoo.com/helix_piercing_las_vegas_authority_guide/,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
Canonical duplicate: https://www.workofarttattoo.com/katelyn_implant_grade_titanium_las_vegas_authority_guide/,https://www.workofarttattoo.com/katelyn_implant_grade_titanium_las_vegas_authority_guide/,https://www.workofarttattoo.com/katelyn_gold_vs_titanium_las_vegas_authority_guide/ | https://www.workofarttattoo.com/katelyn_implant_grade_titanium_las_vegas_authority_guide/,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
Canonical duplicate: https://www.workofarttattoo.com/piercing-guide-las-vegas/,https://www.workofarttattoo.com/piercing-guide-las-vegas/,https://www.workofarttattoo.com/piercing-guide-las-vegas/ | https://www.workofarttattoo.com/piercing_types_las_vegas_authority_hub/,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
Canonical duplicate: https://www.workofarttattoo.com/realism-tattoos-las-vegas/,https://www.workofarttattoo.com/realism-tattoos-las-vegas/,https://www.workofarttattoo.com/realism-tattoos-las-vegas/ | https://www.workofarttattoo.com/realism_tattoos_las_vegas_master_authority_guide/,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
Canonical duplicate: https://www.workofarttattoo.com/tattoo-aftercare-desert-climate/,https://www.workofarttattoo.com/tattoo-aftercare-desert-climate/,https://www.workofarttattoo.com/tattoo-aftercare-desert-climate/ | https://www.workofarttattoo.com/tattoo_healing_in_desert_climate_expert_aftercare_guide/,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
Canonical duplicate: https://www.workofarttattoo.com/tattoo_shop_near_the_strip_nap_corrected/,https://www.workofarttattoo.com/tattoo_shop_near_the_strip_nap_corrected/,https://www.workofarttattoo.com/tattoo_shop_near_the_strip_geo_seo_optimized/ | https://www.workofarttattoo.com/tattoo_shop_near_the_strip_nap_corrected/,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
Canonical duplicate: https://www.workofarttattoo.com/walk-in-tattoos-las-vegas/,https://www.workofarttattoo.com/walk-in-tattoos-las-vegas/,https://www.workofarttattoo.com/walk-in-tattoos-las-vegas/ | https://www.workofarttattoo.com/walk_in_tattoos_las_vegas_authority_guide/,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
Duplicate title: black & grey realism — joshua cole | work of art las vegas | work of art,https://www.workofarttattoo.com/realism-tattoos-las-vegas/,https://www.workofarttattoo.com/realism-tattoos-las-vegas/ | https://www.workofarttattoo.com/realism_tattoos_las_vegas_master_authority_guide/,Review for merge/canonical conflict,Identical title indicates likely cannibalization or build duplication.
Duplicate title: desert tattoo healing — joshua cole | work of art las vegas | work of art,https://www.workofarttattoo.com/tattoo-aftercare-desert-climate/,https://www.workofarttattoo.com/tattoo-aftercare-desert-climate/ | https://www.workofarttattoo.com/tattoo_healing_in_desert_climate_expert_aftercare_guide/,Review for merge/canonical conflict,Identical title indicates likely cannibalization or build duplication.
Duplicate title: female piercer las vegas | katelyn cole | work of art,https://www.workofarttattoo.com/artists/katelyn-cole/,https://www.workofarttattoo.com/artists/katelyn-cole/ | https://www.workofarttattoo.com/artists_build/katelyn-cole.html,Review for merge/canonical conflict,Identical title indicates likely cannibalization or build duplication.
Duplicate title: joshua cole | realism tattoo artist las vegas | work of art,https://www.workofarttattoo.com/artists/joshua-cole/,https://www.workofarttattoo.com/artists/joshua-cole/ | https://www.workofarttattoo.com/artists_build/joshua-cole.html,Review for merge/canonical conflict,Identical title indicates likely cannibalization or build duplication.
Duplicate title: leave a review | work of art tattoo & piercing,https://www.workofarttattoo.com/review_funnel_google_authority_hub/,https://www.workofarttattoo.com/review_funnel_google_authority_hub/ | https://www.workofarttattoo.com/reviews_vault_100_verified_masterpieces/,Review for merge/canonical conflict,Identical title indicates likely cannibalization or build duplication.
Duplicate title: tattoo and piercing shop near the strip | work of art las vegas,https://www.workofarttattoo.com/,https://www.workofarttattoo.com/ | https://www.workofarttattoo.com/home_work_of_art_tattoo_piercing/,Review for merge/canonical conflict,Identical title indicates likely cannibalization or build duplication.
Duplicate title: tattoo healing: fresh vs healed | real studio results | work of art,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/ | https://www.workofarttattoo.com/tattoo_healing_before_after_real_results/,Review for merge/canonical conflict,Identical title indicates likely cannibalization or build duplication.
Duplicate title: teralyn | fine line tattoo artist las vegas | work of art,https://www.workofarttattoo.com/artists/teralyn/,https://www.workofarttattoo.com/artists/teralyn/ | https://www.workofarttattoo.com/artists_build/teralyn.html,Review for merge/canonical conflict,Identical title indicates likely cannibalization or build duplication.
Duplicate title: walk-in & same-day tattoos — joshua cole | work of art las vegas | work of art,https://www.workofarttattoo.com/walk-in-tattoos-las-vegas/,https://www.workofarttattoo.com/walk-in-tattoos-las-vegas/ | https://www.workofarttattoo.com/walk_in_tattoos_las_vegas_authority_guide/,Review for merge/canonical conflict,Identical title indicates likely cannibalization or build duplication.
