url,page_intent,section_heading,asset_type,asset_path,alt_text,caption,artist,verified_real_work,intent_alignment_score,provenance_status,action,notes
/,tattoo,Meet Our Artists,image,/artists/katelyn-cole/katelyn-cole-professional-piercer-ear-curation-no-duplicates-las-vegas.jpg,"Katelyn Cole — professional piercer, Work of Art Tattoo Las Vegas",,Katelyn Cole,YES,4,VERIFIED,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Meet Our Artists,image,/artists/teralyn/teralyn-fine-line-tattoo-artist-las-vegas-400.webp,,,Teralyn,YES,4,VERIFIED,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Meet Our Artists,image,/artists/teralyn/teralyn-fine-line-tattoo-artist-las-vegas.jpg,"Teralyn — tattoo artist and piercer, Work of Art Tattoo Las Vegas",,Teralyn,YES,4,VERIFIED,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Meet Our Artists,image,/home_work_of_art_tattoo_piercing/client-portfolio/norse-odin-viking-ship-sleeve-realism-las-vegas-400.webp,,Masterpiece,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Meet Our Artists,image,/home_work_of_art_tattoo_piercing/client-portfolio/norse-odin-viking-ship-sleeve-realism-las-vegas.png,Black and grey Norse Odin and Viking ship sleeve — Work of Art Tattoo Las Vegas,Masterpiece,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Norse Odin Sleeve,image,/home_work_of_art_tattoo_piercing/client-portfolio/black-grey-warrior-profile-shoulder-realism-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Norse Odin Sleeve,image,/home_work_of_art_tattoo_piercing/client-portfolio/black-grey-warrior-profile-shoulder-realism-las-vegas.png,Black and grey warrior profile shoulder realism — Work of Art Tattoo Las Vegas,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Norse Odin Sleeve,image,/home_work_of_art_tattoo_piercing/client-portfolio/veiled-woman-statue-black-grey-realism-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Norse Odin Sleeve,image,/home_work_of_art_tattoo_piercing/client-portfolio/veiled-woman-statue-black-grey-realism-las-vegas.png,Veiled woman statue black and grey realism — Work of Art Tattoo Las Vegas,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Norse Odin Sleeve,image,/home_work_of_art_tattoo_piercing/client-portfolio/all-seeing-eye-triangle-forearm-realism-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Norse Odin Sleeve,image,/home_work_of_art_tattoo_piercing/client-portfolio/all-seeing-eye-triangle-forearm-realism-las-vegas.png,All-seeing eye triangle forearm realism — Work of Art Tattoo Las Vegas,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/black-grey-warrior-profile-shoulder-realism-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/black-grey-warrior-profile-shoulder-realism-las-vegas.png,"Black and grey warrior profile shoulder realism tattoo — Joshua Cole, Work of Art Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/norse-odin-viking-ship-sleeve-realism-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/norse-odin-viking-ship-sleeve-realism-las-vegas.png,"Norse Odin and Viking ship black and grey sleeve — Joshua Cole, Work of Art Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/portrait-legs-black-grey-realism-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/portrait-legs-black-grey-realism-las-vegas.png,"Black and grey portrait leg tattoos — Joshua Cole, Work of Art Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/eagle-memorial-color-leg-tattoo-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/eagle-memorial-color-leg-tattoo-las-vegas.png,"Color eagle memorial leg tattoo — Joshua Cole, Work of Art Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/falling-angel-black-grey-realism-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/falling-angel-black-grey-realism-las-vegas.png,"Falling angel black and grey realism tattoo — Joshua Cole, Work of Art Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/original-portrait-drawing-graphite-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/original-portrait-drawing-graphite-las-vegas.png,Original graphite portrait drawing by Joshua Cole — Work of Art Las Vegas,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/egyptian-face-neck-realism-tattoo-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/egyptian-face-neck-realism-tattoo-las-vegas.png,"Egyptian face neck black and grey realism tattoo — Joshua Cole, Work of Art Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/veiled-woman-statue-black-grey-realism-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/veiled-woman-statue-black-grey-realism-las-vegas.png,"Veiled woman statue black and grey realism tattoo — Joshua Cole, Work of Art Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/fly-high-eagle-memorial-color-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/fly-high-eagle-memorial-color-las-vegas.png,"Fly High With The Eagles memorial color leg tattoo — Joshua Cole, Work of Art Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/all-seeing-eye-triangle-forearm-realism-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/all-seeing-eye-triangle-forearm-realism-las-vegas.png,"All-seeing eye triangle forearm black and grey realism — Joshua Cole, Work of Art Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/original-singer-portrait-drawing-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/original-singer-portrait-drawing-las-vegas.png,Original singer portrait drawing by Joshua Cole — Work of Art Las Vegas,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/original-pennywise-drawing-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/original-pennywise-drawing-las-vegas.png,Original Pennywise portrait drawing by Joshua Cole — Work of Art Las Vegas,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/red-rose-memorial-name-tattoo-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Studio Portfolio — 13 Recent Pieces,image,/home_work_of_art_tattoo_piercing/client-portfolio/red-rose-memorial-name-tattoo-las-vegas.png,"Red rose memorial name tattoo — Joshua Cole, Work of Art Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,,video,https://www.googletagmanager.com/ns.html?id=GTM-TZTQSQBB,,,,NO,3,UNKNOWN,REVIEW,Generic studio creative; acceptable when not used as portfolio proof.
/,tattoo,Joshua Cole — professional studio interview,video,https://www.instagram.com/reel/DDiX988y0tR/,"▶ Joshua Cole — professional studio interview The full Work of Art story — consult-first custom tattoos and piercings in Las Vegas, told straight from the studio chair. Watch on Instagram","▶ Joshua Cole — professional studio interview The full Work of Art story — consult-first custom tattoos and piercings in Las Vegas, told straight from the studio chair. Watch on Instagram",Joshua Cole,YES,3,LIKELY,REVIEW,Remote Instagram card; verify reel subject visually before using as proof.
/,tattoo,Joshua Cole — professional studio interview,video,https://www.instagram.com/reel/DDiX988y0tR/,Watch on Instagram,Watch on Instagram,,NO,3,UNKNOWN,REVIEW,Remote Instagram card; verify reel subject visually before using as proof.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,Real heal documentation,image,/healed_tattoo_gallery_las_vegas/fresh-all-seeing-eye-triangle-forearm-joshua-cole-las-vegas.webp,,Tattoo skin science close-up Fresh tattoo surface detail — the epidermis is irritated while pigment is placed below it.,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,Real heal documentation,image,/healed_tattoo_gallery_las_vegas/fresh-all-seeing-eye-triangle-forearm-joshua-cole-las-vegas.png,Tattoo skin science close-up — Tattoo skin science — Work of Art Las Vegas,Tattoo skin science close-up Fresh tattoo surface detail — the epidermis is irritated while pigment is placed below it.,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,Real heal documentation,image,/tattoo_healing_before_after_real_results/eagle-memorial-calf-fresh-tattoo-las-vegas.webp,,"Healing week 1 Early tattoo healing reference — surface shine, tightness, and light texture can change how value reads.",,YES,4,UNKNOWN,KEEP,Tattoo visual supports tattoo page.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,Real heal documentation,image,/tattoo_healing_before_after_real_results/eagle-memorial-calf-fresh-tattoo-las-vegas.png,Healing week 1 — Tattoo skin science — Work of Art Las Vegas,"Healing week 1 Early tattoo healing reference — surface shine, tightness, and light texture can change how value reads.",,YES,4,UNKNOWN,KEEP,Tattoo visual supports tattoo page.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,Real heal documentation,image,/tattoo_healing_before_after_real_results/eagle-memorial-calf-fresh-vs-healed-comparison-las-vegas.webp,,Healing month 2 Fresh vs settled tattoo comparison — useful for explaining how the surface calms while pigment remains.,,YES,4,UNKNOWN,KEEP,Tattoo visual supports tattoo page.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,Real heal documentation,image,/tattoo_healing_before_after_real_results/eagle-memorial-calf-fresh-vs-healed-comparison-las-vegas.png,Healing month 2 — Tattoo skin science — Work of Art Las Vegas,Healing month 2 Fresh vs settled tattoo comparison — useful for explaining how the surface calms while pigment remains.,,YES,4,UNKNOWN,KEEP,Tattoo visual supports tattoo page.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,Real heal documentation,image,/healed_tattoo_gallery_las_vegas/healed-3-month-roaring-lion-thigh-joshua-cole-las-vegas.webp,,Settled heal Settled black and grey tattoo detail — healed contrast is what matters for long-term readability.,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,Real heal documentation,image,/healed_tattoo_gallery_las_vegas/healed-3-month-roaring-lion-thigh-joshua-cole-las-vegas.png,Settled heal — Tattoo skin science — Work of Art Las Vegas,Settled heal Settled black and grey tattoo detail — healed contrast is what matters for long-term readability.,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,Real heal documentation,image,/home_work_of_art_tattoo_piercing/client-portfolio/skull-hourglass-forearm-realism-fresh-las-vegas.webp,,"Fresh redness Day-zero tattoo surface redness — shown as healing context, not as finished portfolio proof.",Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,Real heal documentation,image,/home_work_of_art_tattoo_piercing/client-portfolio/skull-hourglass-forearm-realism-fresh-las-vegas.png,Fresh redness — Tattoo skin science — Work of Art Las Vegas,"Fresh redness Day-zero tattoo surface redness — shown as healing context, not as finished portfolio proof.",Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,,video,https://www.googletagmanager.com/ns.html?id=GTM-TZTQSQBB,,,,NO,3,UNKNOWN,REVIEW,Generic studio creative; acceptable when not used as portfolio proof.
/aging_skin_skin_science_las_vegas_authority_guide/,tattoo,Book a consult,video,https://www.instagram.com/reel/Cpp18lXgU3P/,▶ Joshua Cole — seminars & advanced training Continuing education and advanced training from Joshua Cole. Watch on Instagram,▶ Joshua Cole — seminars & advanced training Continuing education and advanced training from Joshua Cole. Watch on Instagram,Joshua Cole,YES,3,LIKELY,REVIEW,Remote Instagram card; verify reel subject visually before using as proof.
/anti_eyebrow_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/nostril-stud-on-smiling-client-dd626b1d.webp,,Facial piercing close-up Placement and angle marked for your anatomy — starter jewelry sized for swelling.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_eyebrow_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/nostril-stud-on-smiling-client-dd626b1d.png,Facial piercing close-up — Facial piercing — Work of Art Las Vegas,Facial piercing close-up Placement and angle marked for your anatomy — starter jewelry sized for swelling.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_eyebrow_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/facial-piercing-work-c65aaed1.webp,,"Healing week 1 Days 3–7: tenderness around nostril, eyebrow, or bridge — keep hands off and saline only.",Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_eyebrow_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/facial-piercing-work-c65aaed1.png,Healing week 1 — Facial piercing — Work of Art Las Vegas,"Healing week 1 Days 3–7: tenderness around nostril, eyebrow, or bridge — keep hands off and saline only.",Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_eyebrow_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/curated-facial-piercing-jewelry-display-7d759759.webp,,Healing month 2 Healed facial work — shorter posts and decorative ends once swelling is gone.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_eyebrow_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/curated-facial-piercing-jewelry-display-7d759759.png,Healing month 2 — Facial piercing — Work of Art Las Vegas,Healing month 2 Healed facial work — shorter posts and decorative ends once swelling is gone.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_eyebrow_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/labret-and-eyebrow-piercing-closeup-c6159742.webp,,Swelling example Starter jewelry sits long so tissue is not pulled inward — embedding happens when posts are too short too soon.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_eyebrow_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/labret-and-eyebrow-piercing-closeup-c6159742.png,Swelling example — Facial piercing — Work of Art Las Vegas,Swelling example Starter jewelry sits long so tissue is not pulled inward — embedding happens when posts are too short too soon.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_eyebrow_piercing_las_vegas_authority_guide/,piercing,,video,https://www.googletagmanager.com/ns.html?id=GTM-TZTQSQBB,,,,NO,3,UNKNOWN,REVIEW,Generic asset on piercing page.
/anti_eyebrow_piercing_las_vegas_authority_guide/,piercing,Related piercing guides,video,https://www.instagram.com/reel/C78fY1quCVF/,▶ Katelyn Cole — piercing in the studio Watch Katelyn at Work of Art — calm ear curation and piercing placement in Las Vegas. Watch on Instagram,▶ Katelyn Cole — piercing in the studio Watch Katelyn at Work of Art — calm ear curation and piercing placement in Las Vegas. Watch on Instagram,Katelyn Cole,YES,3,VERIFIED,REVIEW,Remote Instagram card; verify reel subject visually before using as proof.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/curated-helix-tragus-lobe-piercings-88475d3e.webp,,Anti-tragus close-up Placement and angle marked for your anatomy — starter jewelry sized for swelling.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/curated-helix-tragus-lobe-piercings-88475d3e.png,Anti-tragus close-up — Anti-tragus — Work of Art Las Vegas,Anti-tragus close-up Placement and angle marked for your anatomy — starter jewelry sized for swelling.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/flat-and-conch-cartilage-studs-c317138a.webp,,"Healing week 1 Days 3–7: light crusties, tenderness, and a longer post on purpose — do not shorten jewelry at home.",Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/flat-and-conch-cartilage-studs-c317138a.png,Healing week 1 — Anti-tragus — Work of Art Las Vegas,"Healing week 1 Days 3–7: light crusties, tenderness, and a longer post on purpose — do not shorten jewelry at home.",Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/ear-piercing-healed-result-0f5998be.webp,,Healing month 2 Around 6–8 weeks swelling drops — this is when downsizing protects the angle and prevents bumps.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/ear-piercing-healed-result-0f5998be.png,Healing month 2 — Anti-tragus — Work of Art Las Vegas,Healing month 2 Around 6–8 weeks swelling drops — this is when downsizing protects the angle and prevents bumps.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/jewelry-upgrade-86d3f26f.webp,,"Jewelry change Downsize to a shorter post or swap ends once the fistula is stable — booked as a check-in, not a mall kiosk.",Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/jewelry-upgrade-86d3f26f.png,Jewelry change — Anti-tragus — Work of Art Las Vegas,"Jewelry change Downsize to a shorter post or swap ends once the fistula is stable — booked as a check-in, not a mall kiosk.",Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/fresh-upper-cartilage-industrial-bar-2e41fc98.webp,,Swelling example Starter jewelry sits long so tissue is not pulled inward — embedding happens when posts are too short too soon.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,Real heal documentation,image,/studio_gallery/fresh-upper-cartilage-industrial-bar-2e41fc98.png,Swelling example — Anti-tragus — Work of Art Las Vegas,Swelling example Starter jewelry sits long so tissue is not pulled inward — embedding happens when posts are too short too soon.,Katelyn Cole,YES,5,VERIFIED,KEEP,Piercing visual matches page intent.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,,video,https://www.googletagmanager.com/ns.html?id=GTM-TZTQSQBB,,,,NO,3,UNKNOWN,REVIEW,Generic asset on piercing page.
/anti_tragus_piercing_las_vegas_authority_guide/,piercing,Related piercing guides,video,https://www.instagram.com/reel/C78fY1quCVF/,▶ Katelyn Cole — piercing in the studio Watch Katelyn at Work of Art — calm ear curation and piercing placement in Las Vegas. Watch on Instagram,▶ Katelyn Cole — piercing in the studio Watch Katelyn at Work of Art — calm ear curation and piercing placement in Las Vegas. Watch on Instagram,Katelyn Cole,YES,3,VERIFIED,REVIEW,Remote Instagram card; verify reel subject visually before using as proof.
/appointments/,tattoo,Verified studio work,image,/home_work_of_art_tattoo_piercing/client-portfolio/roaring-lion-tiger-forearm-realism-las-vegas.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/appointments/,tattoo,Verified studio work,image,/home_work_of_art_tattoo_piercing/client-portfolio/roaring-lion-tiger-forearm-realism-las-vegas.png,"Roaring lion and tiger forearm realism — Appointments, Joshua Cole, Work of Art Las Vegas, Work of Art Tattoo & Piercing, Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/appointments/,tattoo,Verified studio work,image,/home_work_of_art_tattoo_piercing/client-portfolio/black-grey-all-seeing-eye-realism-las-vegas.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/appointments/,tattoo,Verified studio work,image,/home_work_of_art_tattoo_piercing/client-portfolio/black-grey-all-seeing-eye-realism-las-vegas.png,"Black and grey all-seeing eye realism — Appointments, Joshua Cole, Work of Art Las Vegas, Work of Art Tattoo & Piercing, Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/appointments/,tattoo,Verified studio work,image,/home_work_of_art_tattoo_piercing/client-portfolio/skull-hourglass-forearm-realism-fresh-las-vegas.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/appointments/,tattoo,Verified studio work,image,/home_work_of_art_tattoo_piercing/client-portfolio/skull-hourglass-forearm-realism-fresh-las-vegas.png,"Fresh skull and hourglass forearm realism — Appointments, Joshua Cole, Work of Art Las Vegas, Work of Art Tattoo & Piercing, Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
